iter	MultiClass
0	1.02036501
1	0.9642066174
2	0.8950896332
3	0.8387015651
4	0.789128652
5	0.7502028738
6	0.704970171
7	0.6703043529
8	0.6319671355
9	0.6028184704
10	0.5759190868
11	0.5486445826
12	0.5236668472
13	0.4992236377
14	0.4780009424
15	0.4554527057
16	0.4405541887
17	0.4254194424
18	0.4065687842
19	0.3909625059
20	0.3770135321
21	0.359523356
22	0.345510285
23	0.3335633014
24	0.3218318386
25	0.3115582049
26	0.3020554009
27	0.2925145664
28	0.2831153636
29	0.2752303313
30	0.2667043641
31	0.2584413749
32	0.2525510372
33	0.2444100775
34	0.2394491485
35	0.2333122777
36	0.225881314
37	0.2201081795
38	0.2144700226
39	0.2100951482
40	0.2043778664
41	0.1986484454
42	0.1935006129
43	0.1886820745
44	0.1849245444
45	0.180770174
46	0.176610527
47	0.1727839609
48	0.1692785037
49	0.1651320075
50	0.161649649
51	0.1583877925
52	0.1545838662
53	0.1516395721
54	0.1486271054
55	0.1458395584
56	0.1432984412
57	0.1402165916
58	0.1377932798
59	0.1347874349
60	0.1323576547
61	0.1301972432
62	0.1286105075
63	0.1265529943
64	0.1245742807
65	0.1223600642
66	0.1195926099
67	0.1174499962
68	0.1156508832
69	0.1141422147
70	0.1127620431
71	0.1107488656
72	0.1094282264
73	0.1082394505
74	0.1065122525
75	0.1043645921
76	0.1029977141
77	0.1014778628
78	0.1001555919
79	0.09897496712
80	0.09777178305
81	0.09626741081
82	0.09507143502
83	0.09393411212
84	0.092630688
85	0.09126413399
86	0.09002200746
87	0.08902356358
88	0.08803132561
89	0.08703846029
90	0.08582692128
91	0.08482523198
92	0.08357929238
93	0.0823389762
94	0.08128174897
95	0.08038462133
96	0.07937384646
97	0.07840384176
98	0.07732353543
99	0.0763521762
100	0.07533372923
101	0.07443876338
102	0.07363532324
103	0.07300888853
104	0.0722138725
105	0.07114020734
106	0.07017618508
107	0.06925144946
108	0.06830703303
109	0.06746998555
110	0.06687852122
111	0.06593731702
112	0.06515772201
113	0.06454086295
114	0.0639910241
115	0.06313610192
116	0.06249110804
117	0.06170924415
118	0.06096679734
119	0.06039875503
120	0.05978394602
121	0.05922630573
122	0.05874002736
123	0.05794529535
124	0.05721785321
125	0.05654799709
126	0.05600647148
127	0.05550715393
128	0.05502268048
129	0.05452214337
130	0.05406106919
131	0.05354085241
132	0.05315957974
133	0.05256068065
134	0.05212934561
135	0.05172395455
136	0.05137725628
137	0.05093516255
138	0.05044721087
139	0.05005092783
140	0.04964310639
141	0.04924814006
142	0.0488592642
143	0.04839276934
